n,time_s,time_ms,time_years
10,0.0560283660888671,0.0560283660888671,1.7754317847005852e-12
11,0.0319480895996093,0.0319480895996093,1.0123738687228869e-12
12,0.1180171966552734,0.1180171966552734,3.739739291177828e-12
13,0.5049705505371094,0.5049705505371094,1.6001551148918466e-11
14,0.5779266357421875,0.5779266357421875,1.8313389983464758e-11
15,1.0290145874023438,1.0290145874023438,3.2607504607522237e-11
16,1.8229484558105469,1.8229484558105469,5.776575074817309e-11
17,0.7259845733642578,0.7259845733642578,2.3005062912396943e-11
18,15.141010284423828,15.141010284423828,4.797896634859376e-10
19,3.506898880004883,3.506898880004883,1.1112691966451449e-10
20,15.697956085205078,15.697956085205078,4.974382109287487e-10
21,36.66996955871582,36.66996955871582,1.1620012155143552e-09
22,184.77678298950195,184.77678298950195,5.855222925365109e-09
23,470.3631401062012,470.3631401062012,1.490490848816771e-08
24,486.2868785858154,486.2868785858154,1.5409501311437352e-08
25,1340.820074081421,1340.820074081421,4.248802425030487e-08
26,926.3381958007812,926.3381958007812,2.93538860940243e-08
27,2096.360921859741,2096.360921859741,6.642966898179018e-08
28,3960.906028747559,3960.906028747559,1.2551353806206934e-07
29,24859.257221221924,24859.257221221924,7.877423258176136e-07
30,58067.410945892334,58067.410945892334,1.8400452171867424e-06
31,120915.25888442992,120915.25888442992,3.83157334158586e-06
32,230714.21194076535,230714.21194076535,7.31089220792346e-06
33,770302.4718761444,770302.4718761444,2.440941237217483e-05
