n,time_ms,time_years
10,0.03981590270996094,1.2616898214680755e-12
11,0.03886222839355469,1.23146970598381e-12
12,0.04410743713378906,1.397680341147269e-12
13,0.007152557373046875,2.266508661319896e-13
14,0.5669593811035156,1.7965858655395708e-11
15,0.23412704467773438,7.419038351387126e-12
16,2.3407936096191406,7.417527345612913e-11
17,0.9593963623046875,3.040143617717087e-11
18,10.84589958190918,3.4368581837367794e-10
19,9.071111679077148,2.8744618345746024e-10
20,40.08293151855469,1.2701514538036695e-09
21,91.19701385498047,2.889858983413836e-09
22,75.46496391296387,2.3913404033565247e-09
23,254.39691543579102,8.061351795947442e-09
24,903.336763381958,2.8625014683688173e-08
25,542.0000553131104,1.7174945347970388e-08
26,1863.3201122283936,5.904505134193961e-08
27,3951.120138168335,1.252034419020564e-07
28,9323.478698730469,2.954432117375994e-07
29,18728.559970855713,5.934722529867833e-07
30,48150.296211242676,1.5257908146133632e-06
31,52904.40487861633,1.6764394275425358e-06
32,177909.81602668762,5.637621873231412e-06
33,413549.47113990784,1.310459195692663e-05
